Event,Name,Time,Team
1000 free,Olivia Jubin,9:55.20,Columbia
1000 free,Aziza Ganihanova,10:05.11,Columbia
1000 free,Lindsay Orringer-Hau,10:10.55,Columbia
1000 free,Aziza Ginihanova,10:13.09,Columbia
1000 free,Olivia Kim,10:25.38,Columbia
1000 free,Riley Pujadas,10:25.97,Columbia
1000 free,Thea Leimone,10:26.86,Columbia
1000 free,Allegra Walker,10:28.16,Columbia
1000 free,Olivia Kim,10:36.10,Columbia
1000 free,Hayley Reed,10:39.93,Columbia
1000 free,Grace Dunn,10:47.61,Columbia
1000 free,Hutton Saunders,11:13.84,Columbia
50 free,Emily MacDonald,22.43,Columbia
50 free,Isabelle Arevalo,22.7,Columbia
50 free,Sally Ma,22.99,Columbia
50 free,Georgia Young,23.7,Columbia
50 free,Ana Eyre,23.83,Columbia
50 free,Grace Zhou,23.97,Columbia
50 free,Tina Le,23.99,Columbia
50 free,Hutton Saunders,24.14,Columbia
50 free,Jazlynn Pak,24.17,Columbia
50 free,Anthea Wong,24.17,Columbia
50 free,Jess Peng,24.24,Columbia
50 free,Aziza Ganihanova,24.41,Columbia
50 free,Charli Phillips,24.54,Columbia
50 free,Mia Saenger,24.65,Columbia
50 free,JING-E TAN,24.92,Columbia
50 free,Grace Dunn,25.3,Columbia
50 free,Hayley Reed,25.54,Columbia
50 free,Allison Martin,25.58,Columbia
50 free,Callie Breiter,25.63,Columbia
50 free,Aastha Mehta,25.72,Columbia
50 free,Olivia Kim,26.94,Columbia
50 free,Olivia Ricard,31.3,Columbia
100 free,Emily MacDonald,49.47,Columbia
100 free,Isabelle Arevalo,49.87,Columbia
100 free,Sally Ma,50.73,Columbia
100 free,Tina Le,50.96,Columbia
100 free,Aziza Ganihanova,51.24,Columbia
100 free,Ana Eyre,51.27,Columbia
100 free,Hutton Saunders,51.53,Columbia
100 free,Georgia Young,51.81,Columbia
100 free,Grace Zhou,52.17,Columbia
100 free,Hayley Reed,52.47,Columbia
100 free,Allison Martin,52.55,Columbia
100 free,Callie Breiter,53.14,Columbia
100 free,Jess Peng,53.32,Columbia
100 free,Jazlynn Pak,53.38,Columbia
100 free,Anthea Wong,53.86,Columbia
100 free,JING-E TAN,53.86,Columbia
100 free,Grace Dunn,54.02,Columbia
100 free,Mia Saenger,54.6,Columbia
100 free,Olivia Kim,55.72,Columbia
100 free,Aastha Mehta,56.19,Columbia
200 free,Olivia Jubin,1:47.23,Columbia
200 free,Isabelle Arevalo,1:48.51,Columbia
200 free,Hutton Saunders,1:49.97,Columbia
200 free,Emily MacDonald,1:50.22,Columbia
200 free,Ana Eyre,1:50.64,Columbia
200 free,Allison Martin,1:50.69,Columbia
200 free,Jess Peng,1:50.80,Columbia
200 free,Tina Le,1:51.87,Columbia
200 free,Karen Liu,1:52.45,Columbia
200 free,Callie Breiter,1:53.70,Columbia
200 free,Lindsay Orringer-Hau,1:53.81,Columbia
200 free,Hayley Reed,1:54.02,Columbia
200 free,Riley Pujadas,1:54.07,Columbia
200 free,Charli Phillips,1:54.21,Columbia
200 free,Georgia Young,1:56.22,Columbia
200 free,Grace Dunn,1:56.27,Columbia
200 free,Olivia Kim,1:56.86,Columbia
200 free,Emma Babashak,1:58.35,Columbia
200 free,Olivia Kim,1:59.91,Columbia
500 free,Olivia Jubin,4:46.45,Columbia
500 free,Aziza Ganihanova,4:47.73,Columbia
500 free,Lindsay Orringer-Hau,4:51.20,Columbia
500 free,Hutton Saunders,4:52.77,Columbia
500 free,Allison Martin,4:58.17,Columbia
500 free,Thea Leimone,4:59.47,Columbia
500 free,Riley Pujadas,4:59.80,Columbia
500 free,Hayley Reed,5:02.68,Columbia
500 free,Jess Peng,5:02.70,Columbia
500 free,Olivia Kim,5:03.11,Columbia
500 free,Callie Breiter,5:03.14,Columbia
500 free,Allegra Walker,5:03.93,Columbia
500 free,Emma Babashak,5:07.30,Columbia
500 free,Olivia Kim,5:08.21,Columbia
500 free,Ana Eyre,5:09.82,Columbia
500 free,Grace Dunn,5:12.56,Columbia
100 back,Grace Zhou,54.75,Columbia
100 back,Aziza Ganihanova,55.03,Columbia
100 back,Riley Pujadas,55.83,Columbia
100 back,Lindsay Orringer-Hau,56.78,Columbia
100 back,Georgia Young,56.98,Columbia
100 back,Olivia Jubin,57.62,Columbia
100 back,JULIA TERESA Unas,57.63,Columbia
100 back,Hannah Hailu,57.67,Columbia
100 back,Riley Pujadas,58.19,Columbia
100 back,Mia Saenger,58.96,Columbia
100 back,JING-E TAN,59.38,Columbia
100 back,Callie Breiter,59.92,Columbia
100 back,Isabella Fratesi,1:00.23,Columbia
100 back,Thea Leimone,1:01.93,Columbia
100 back,Aastha Mehta,1:02.29,Columbia
200 back,Aziza Ganihanova,1:56.20,Columbia
200 back,Grace Zhou,1:57.87,Columbia
200 back,Riley Pujadas,1:59.64,Columbia
200 back,Lindsay Orringer-Hau,2:00.13,Columbia
200 back,Aziza Ginihanova,2:02.48,Columbia
200 back,Hannah Hailu,2:03.70,Columbia
200 back,Allison Martin,2:05.26,Columbia
200 back,Riley Pujadas,2:05.41,Columbia
200 back,Taylor Whang,2:07.37,Columbia
200 back,Callie Breiter,2:07.63,Columbia
200 back,Tina Le,2:10.83,Columbia
200 back,Aastha Mehta,2:18.49,Columbia
200 back,Isabella Fratesi,2:21.27,Columbia
100 breast,Ashley Hu,1:01.52,Columbia
100 breast,Georgia Young,1:02.74,Columbia
100 breast,Olivia Jubin,1:02.88,Columbia
100 breast,Allegra Walker,1:03.09,Columbia
100 breast,Karen Liu,1:03.16,Columbia
100 breast,JULIA TERESA Unas,1:05.33,Columbia
100 breast,Anthea Wong,1:05.59,Columbia
100 breast,Taylor Whang,1:06.78,Columbia
200 breast,Ashley Hu,2:14.86,Columbia
200 breast,Karen Liu,2:15.48,Columbia
200 breast,Allegra Walker,2:17.57,Columbia
200 breast,JULIA TERESA Unas,2:20.88,Columbia
200 breast,Taylor Whang,2:22.24,Columbia
200 breast,Thea Leimone,2:26.18,Columbia
200 breast,Grace Zhou,2:28.10,Columbia
200 breast,Aziza Ganihanova,2:30.62,Columbia
100 fly,Karen Liu,53.99,Columbia
100 fly,Hayley Reed,54.62,Columbia
100 fly,Emily MacDonald,54.99,Columbia
100 fly,Olivia Jubin,55.19,Columbia
100 fly,Jess Peng,55.27,Columbia
100 fly,Anthea Wong,55.31,Columbia
100 fly,Georgia Young,55.74,Columbia
100 fly,Jazlynn Pak,56.01,Columbia
100 fly,Allison Martin,56.24,Columbia
100 fly,Lindsay Orringer-Hau,56.31,Columbia
100 fly,Grace Zhou,56.39,Columbia
