Event,Name,Time,Team
1000 Free ,Marcella Ruppert-Gomez,10:06.37,Harvard
1000 Free ,Carlie Rose,10:07.56,Harvard
1000 Free ,Lizzie Brock,10:20.32,Harvard
1000 Free ,Grace Yoon,10:33.68,Harvard
1000 Free ,Kate Hazlett,10:38.70,Harvard
1000 Free ,Liz Boyer,10:39.94,Harvard
1000 Free ,Robin Cruz-Abrams,10:40.26,Harvard
50 Free,Anya Mostek,22.72,Harvard
50 Free,Mandy Brenner,22.89,Harvard
50 Free,Darlene Fung,23.06,Harvard
50 Free,Athena Ye,23.8,Harvard
50 Free,Samantha Shelton,23.84,Harvard
50 Free,Addie Rose Bullock,23.96,Harvard
50 Free,Kaia Li,24.09,Harvard
50 Free,Molly Hamlin,24.2,Harvard
50 Free,Victoria Eisenhauer,24.33,Harvard
50 Free,Kate Hazlett,24.48,Harvard
50 Free,Amber van Meines,24.53,Harvard
50 Free,Abby Carr,24.79,Harvard
50 Free,Aleksandra DENISENKO,25.27,Harvard
50 Free,Alison Hu,25.33,Harvard
50 Free,Carlie Rose,25.34,Harvard
50 Free,Erin Cavanagh,25.4,Harvard
50 Free,Grace Yoon,26.19,Harvard
50 Free,Liz Boyer,26.5,Harvard
50 Free,Natalie Whalen,26.71,Harvard
100 Free,Anya Mostek,49.5,Harvard
100 Free,Mandy Brenner,49.82,Harvard
100 Free,Molly Hamlin,49.87,Harvard
100 Free,Samantha Shelton,50.15,Harvard
100 Free,Darlene Fung,50.97,Harvard
100 Free,Addie Rose Bullock,52.18,Harvard
100 Free,Erin Cavanagh,52.82,Harvard
100 Free,Carlie Rose,53.21,Harvard
100 Free,Kaia Li,53.28,Harvard
100 Free,Amber van Meines,53.71,Harvard
100 Free,Athena Ye,54.1,Harvard
100 Free,Grace Yoon,54.41,Harvard
100 Free,Liz Boyer,54.87,Harvard
100 Free,Natalie Whalen,55.58,Harvard
100 Free,Aleksandra DENISENKO,55.72,Harvard
100 Free,Alison Hu,55.91,Harvard
200 Free,Samantha Shelton,1:46.13,Harvard
200 Free,Anya Mostek,1:46.56,Harvard
200 Free,Molly Hamlin,1:47.66,Harvard
200 Free,Addie Rose Bullock,1:48.39,Harvard
200 Free,Sydney Lu,1:49.64,Harvard
200 Free,Erin Cavanagh,1:52.26,Harvard
