Event,Name,Time,Team
1000 free,Anna Kalandadze,9:35.62,UPenn
1000 free,Sydney Bergstrom,9:52.30,UPenn
1000 free,Anna Moehn,9:53.71,UPenn
1000 free,Catherine Buroker,9:55.08,UPenn
1000 free,Amelia Girotto,10:08.83,UPenn
1000 free,Lyndsey Reeve,10:09.12,UPenn
1000 free,Bridget O'Leary,10:19.99,UPenn
1000 free,Anna Boeckman,10:23.30,UPenn
1000 free,Ellen Holmquist,10:29.49,UPenn
1000 free,Kiani Morisi,10:38.99,UPenn
1000 free,Jillian Johnson,10:46.43,UPenn
50 free,Abby Wickersham,23.19,UPenn
50 free,Margot Kaczorowski,23.29,UPenn
50 free,Amber Smith,23.33,UPenn
50 free,Brooke Blom,24.08,UPenn
50 free,Keara McGowan,24.09,UPenn
50 free,Lyndsey Reeve,24.13,UPenn
50 free,Sophie Henriksen,24.34,UPenn
50 free,Bridget O'Leary,24.56,UPenn
50 free,Camryn Carter,24.57,UPenn
50 free,Vanessa Chong,24.64,UPenn
50 free,Catherine Buroker,24.65,UPenn
50 free,Rachel Blackwell,24.85,UPenn
50 free,Anna Moehn,24.86,UPenn
50 free,Jill Anderson,25.35,UPenn
50 free,Anna Boeckman,26.05,UPenn
50 free,Rina Nagatani,27.11,UPenn
50 free,Amelia Girotto,27.76,UPenn
100 free,Margot Kaczorowski,50.1,UPenn
100 free,Abby Wickersham,50.26,UPenn
100 free,Amber Smith,51.27,UPenn
100 free,Anna Moehn,51.87,UPenn
100 free,Bridget O'Leary,52.61,UPenn
100 free,Keara McGowan,52.65,UPenn
100 free,Brooke Blom,52.88,UPenn
100 free,Vanessa Chong,53.15,UPenn
100 free,Lyndsey Reeve,53.42,UPenn
100 free,Rachel Blackwell,53.78,UPenn
100 free,Anna Boeckman,54.1,UPenn
100 free,Catherine Buroker,54.81,UPenn
100 free,Rina Nagatani,57.27,UPenn
100 free,Amelia Girotto,57.98,UPenn
200 free,Anna Kalandadze,1:47.86,UPenn
200 free,Margot Kaczorowski,1:48.43,UPenn
200 free,Anna Moehn,1:48.85,UPenn
200 free,Bridget O'Leary,1:49.05,UPenn
200 free,Catherine Buroker,1:49.11,UPenn
200 free,Abby Wickersham,1:50.28,UPenn
200 free,Lyndsey Reeve,1:50.59,UPenn
200 free,Amber Smith,1:51.47,UPenn
200 free,Anna Boeckman,1:51.62,UPenn
200 free,Amelia Girotto,1:52.18,UPenn
200 free,Ellen Holmquist,1:54.55,UPenn
200 free,Emma Stolberg,1:55.50,UPenn
200 free,Sophie Henriksen,1:57.57,UPenn
200 free,Keren Makhervaks,2:02.18,UPenn
200 free,Rina Nagatani,2:07.09,UPenn
500 free,Anna Kalandadze,4:38.86,UPenn
500 free,Catherine Buroker,4:43.68,UPenn
500 free,Anna Moehn,4:45.48,UPenn
500 free,Sydney Bergstrom,4:47.13,UPenn
500 free,Amelia Girotto,4:51.88,UPenn
500 free,Bridget O'Leary,4:53.29,UPenn
500 free,Lyndsey Reeve,4:55.97,UPenn
500 free,Emma Stolberg,4:56.61,UPenn
500 free,Sophie Henriksen,4:58.06,UPenn
500 free,Hadley DeBruyn,5:01.87,UPenn
500 free,Ellen Holmquist,5:07.87,UPenn
500 free,Kiani Morisi,5:10.40,UPenn
500 free,Keren Makhervaks,5:14.72,UPenn
500 free,Jillian Johnson,5:15.74,UPenn
100 back,Sophie Henriksen,56.04,UPenn
100 back,Amber Smith,56.63,UPenn
100 back,Izzy Pytel,57.01,UPenn
100 back,Joy Jiang,57.9,UPenn
100 back,Bridget O'Leary,58.01,UPenn
100 back,Vanessa Chong,58.31,UPenn
100 back,Hadley DeBruyn,58.48,UPenn
